Locus,word_count,sentence_count,sentence_length,fraction_sentence_relative,relative_clause_length,alius,antequam,atque_consonant,conjunction,cum_clause,demonstrative,dum,gerundive,idem,interrogative,ipse,iste,o_interjection,personal,preposition,priusquam,quidam,quin,quominus,reflexive,si,superlative,ut
1.182-1.198.txt,113,6,18.83333333,0.666666667,5.333333333,0,0,0,0.097345133,0,0.026548673,0,0.017699115,0.008849558,0.008849558,0,0,0.008849558,0.044247788,0.044247788,0,0,0,0,0,0,0,0
1.209-1.243.txt,230,17,13.52941176,0.294117647,5.5,0,0,0,0.065217391,0,0.026086957,0,0.004347826,0.017391304,0,0.013043478,0,0,0.008695652,0.034782609,0,0,0,0,0,0,0,0
1.456-1.462.txt,46,3,15.33333333,0.666666667,7.333333333,0,0,0,0.043478261,0,0.02173913,0,0,0,0.02173913,0,0.02173913,0,0.043478261,0,0,0,0,0,0,0,0,0
1.498-1.498.txt,8,3,2.666666667,0,,0,0,0,0.25,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0.125,0,0
1.504-1.524.txt,149,13,11.46153846,0.461538462,3.857142857,0,0,0,0.087248322,0,0.013422819,0,0.006711409,0.006711409,0,0.006711409,0,0,0.060402685,0.026845638,0,0,0,0,0,0,0,0
1.589-1.597.txt,61,4,15.25,0.5,4.333333333,0,0,0,0.147540984,0,0,0.016393443,0,0.016393443,0,0,0,0,0,0.016393443,0,0,0,0,0,0.016393443,0.016393443,0
1.607-1.608.txt,14,1,14,0,,0,0,0,0.214285714,0,0,0,0,0,0,0,0,0,0.071428571,0.142857143,0,0,0,0,0,0,0,0
1.735-1.737.txt,23,2,11.5,0,,0,0,0,0.043478261,0,0.130434783,0,0,0,0,0,0,0,0.043478261,0,0,0,0,0,0,0,0,0.043478261
10.141-10.142.txt,10,1,10,0,,0.1,0,0,0.3,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0
10.148-10.739.txt,3946,268,14.68283582,0.21641791,5.4,0.000506842,0,0,0.126203751,0.002027369,0.024075013,0.003294475,0.003294475,0.003294475,0.005828687,0.005828687,0.001013685,0.001013685,0.01926001,0.033451597,0,0,0,0,0.003547897,0.007856057,0.001267106,0.004815003
10.17-10.39.txt,164,9,18.22222222,0.222222222,5.666666667,0,0,0,0.097560976,0,0.042682927,0,0,0,0,0,0,0.006097561,0.042682927,0.054878049,0,0,0,0,0,0.018292683,0.006097561,0.006097561
10.196-10.208.txt,94,9,10.44444444,0.222222222,8,0,0,0,0.127659574,0,0.021276596,0,0.010638298,0.010638298,0.010638298,0,0,0,0.085106383,0.021276596,0,0,0,0,0.010638298,0.031914894,0.010638298,0
10.230-10.234.txt,38,5,7.6,0,,0,0,0,0.184210526,0,0.052631579,0,0,0,0.078947368,0,0,0,0,0.026315789,0,0,0,0,0,0.026315789,0,0
10.543-10.552.txt,68,5,13.6,0.6,3,0,0,0,0.132352941,0,0,0,0,0.014705882,0,0,0,0,0.029411765,0.029411765,0,0,0,0,0,0,0,0
10.553-10.557.txt,36,2,18,0,,0,0,0,0.222222222,0.027777778,0.027777778,0,0,0,0,0.027777778,0,0,0.055555556,0,0,0,0,0,0,0,0,0
10.560-10.707.txt,983,84,11.6547619,0.178571429,5.647058824,0.001017294,0,0,0.100712106,0.004069176,0.02543235,0.003051882,0.007121058,0.003051882,0.01017294,0.007121058,0,0.001017294,0.026449644,0.036622584,0,0,0,0,0.001017294,0.007121058,0.001017294,0.003051882
10.724-10.731.txt,51,5,10,0,,0,0,0,0.098039216,0,0,0,0,0,0.019607843,0,0,0,0.098039216,0.039215686,0,0,0,0,0,0,0,0
11.585-11.588.txt,22,1,22,0,,0,0,0,0.045454545,0,0,0,0,0,0,0,0,0,0,0.045454545,0,0,0,0,0,0,0.045454545,0
12.169-12.175.txt,46,3,15.33333333,0.333333333,5,0,0,0,0.043478261,0.02173913,0.043478261,0,0,0,0,0.02173913,0,0,0,0.02173913,0,0,0,0,0,0,0,0
12.182-12.535.txt,2293,119,19.26890756,0.336134454,6.363636364,0.00087222,0,0,0.114260794,0.00043611,0.019188836,0.00130833,0.003052769,0.002616659,0.003488879,0.003488879,0.00043611,0.00043611,0.015699956,0.049716529,0,0,0,0,0.00130833,0.002180549,0.002180549,0.005233319
12.383-12.384.txt,14,1,14,0,,0,0,0,0.071428571,0,0.071428571,0,0,0,0,0,0,0,0.071428571,0,0,0,0,0,0,0,0,0
12.542-12.576.txt,228,8,28.375,0.625,4.375,0.00877193,0,0,0.122807018,0,0.026315789,0,0.013157895,0,0.013157895,0.004385965,0,0.004385965,0.021929825,0.039473684,0,0,0,0,0,0,0.004385965,0.004385965
12.601-12.603.txt,21,3,7,0,,0,0,0,0.095238095,0,0,0,0,0,0.047619048,0,0,0,0.047619048,0.047619048,0,0,0,0,0,0,0,0
13.128-13.381.txt,1708,103,16.5631068,0.339805825,4.833333333,0.00117096,0,0,0.12763466,0.0029274,0.027517564,0.00058548,0.007025761,0.0029274,0.014637002,0.004098361,0.00175644,0.00117096,0.051522248,0.040398126,0,0,0.00058548,0,0.004683841,0.010538642,0.00117096,0.004683841
13.168-13.169.txt,13,2,6.5,0,,0,0,0,0,0,0,0,0,0,0.076923077,0,0,0,0.153846154,0,0,0,0,0,0.076923077,0,0,0
13.387-13.390.txt,34,3,11.33333333,0,,0,0,0,0.117647059,0,0.088235294,0,0.029411765,0.029411765,0.029411765,0,0,0,0.088235294,0.029411765,0,0,0,0,0.029411765,0.029411765,0,0
13.5-13.122.txt,801,48,16.6875,0.416666667,5.2,0,0,0,0.114856429,0.002496879,0.039950062,0,0.012484395,0.001248439,0.009987516,0.002496879,0.009987516,0,0.036204744,0.036204744,0,0,0,0,0.003745318,0.009987516,0.001248439,0.003745318
13.740-13.745.txt,46,1,45,1,5,0,0,0,0.086956522,0,0.02173913,0,0,0,0,0,0,0.02173913,0.043478261,0.02173913,0,0,0,0,0,0.02173913,0,0.02173913
13.750-13.897.txt,981,51,19.21568627,0.196078431,4.785714286,0.001019368,0,0,0.111111111,0,0.017329256,0,0.004077472,0.001019368,0.003058104,0.00509684,0.002038736,0.001019368,0.046890928,0.038735984,0,0,0,0,0.00509684,0.007135576,0.002038736,0.00509684
13.789-13.869.txt,540,31,17.38709677,0.225806452,5.428571429,0.001851852,0,0,0.1,0,0.02037037,0,0.001851852,0.001851852,0.005555556,0.007407407,0.001851852,0,0.053703704,0.037037037,0,0,0,0,0.005555556,0.009259259,0.001851852,0.005555556
13.837-13.837.txt,6,1,6,0,,0,0,0,0.166666667,0,0.166666667,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0
13.917-13.965.txt,327,16,20.375,0.25,6.166666667,0.003058104,0,0,0.134556575,0,0.027522936,0.006116208,0.006116208,0.003058104,0.006116208,0,0.003058104,0,0.033639144,0.042813456,0,0,0,0,0,0.003058104,0.003058104,0.009174312
13.942-13.942.txt,7,1,7,1,7,0,0,0,0.142857143,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.947-13.948.txt,13,2,6.5,0,,0,0,0,0.230769231,0,0,0,0.076923077,0,0,0,0,0,0,0.076923077,0,0,0,0,0,0,0,0
14.12-14.24.txt,92,6,15.33333333,0.166666667,4,0,0,0,0.119565217,0,0.043478261,0,0.010869565,0,0,0,0,0,0.076086957,0.043478261,0,0,0,0,0,0.02173913,0,0
14.135-14.136.txt,14,2,7,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0
14.162-14.164.txt,19,3,6.333333333,0.333333333,5,0,0,0,0,0,0,0,0,0,0.157894737,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0
14.167-14.222.txt,384,12,31.91666667,0.416666667,7.111111111,0,0,0,0.130208333,0.005208333,0.026041667,0,0.002604167,0.002604167,0.005208333,0.005208333,0,0.002604167,0.036458333,0.046875,0,0,0,0,0,0.013020833,0.002604167,0.005208333
14.192-14.197.txt,47,1,47,1,6.4,0,0,0,0.106382979,0,0,0,0,0,0,0,0,0.021276596,0.063829787,0.063829787,0,0,0,0,0,0.021276596,0,0
14.233-14.440.txt,1349,59,22.86440678,0.355932203,5.965517241,0,0,0,0.129725723,0,0.022979985,0.00222387,0.002965159,0.00222387,0,0.005930319,0,0.00148258,0.018532246,0.040770941,0,0,0.00074129,0,0.002965159,0.002965159,0.00148258,0.002965159
14.318-14.434.txt,762,30,25.4,0.4,5.941176471,0,0,0,0.124671916,0,0.015748031,0.002624672,0.001312336,0.002624672,0,0.005249344,0,0.001312336,0.011811024,0.039370079,0,0,0,0,0.005249344,0.003937008,0.001312336,0.005249344
14.37-14.39.txt,20,1,20,1,5,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0.05,0.1,0,0,0,0,0,0,0,0
14.586-14.591.txt,41,1,41,1,7,0,0,0,0.048780488,0,0,0.024390244,0,0,0,0,0,0,0.073170732,0.048780488,0,0,0,0,0.024390244,0,0.024390244,0
14.594-14.595.txt,16,1,16,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0
14.814-14.814.txt,8,1,8,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0,0,0,0,0,0,0,0
15.493-15.546.txt,337,16,21.0625,0.25,4.333333333,0.002967359,0,0,0.133531157,0,0.020771513,0,0.011869436,0.008902077,0.005934718,0,0.002967359,0,0.020771513,0.026706231,0,0,0,0,0,0.005934718,0,0.002967359
15.75-15.478.txt,2645,120,22.04166667,0.425,5.25,0.00415879,0,0,0.12173913,0.002268431,0.017391304,0,0.005671078,0.005293006,0.007183365,0.004536862,0.000756144,0.000756144,0.00831758,0.042344045,0,0,0,0,0.002268431,0.007561437,0.001512287,0.002268431
15.765-15.778.txt,88,5,17.6,0.6,7.5,0,0,0,0.090909091,0,0.011363636,0,0,0,0.034090909,0,0,0,0.034090909,0.011363636,0,0,0,0,0,0.011363636,0,0
15.807-15.842.txt,224,11,20.36363636,0.272727273,8.75,0,0,0,0.116071429,0.004464286,0.044642857,0,0,0.004464286,0.008928571,0.008928571,0,0,0.017857143,0.040178571,0,0,0,0,0,0.004464286,0.008928571,0.008928571
2.423-2.424.txt,15,1,15,0,,0,0,0,0.133333333,0,0.066666667,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0,0.066666667,0,0
2.426-2.427.txt,16,2,8,0,,0,0,0,0.0625,0,0,0,0,0,0.0625,0,0,0.0625,0,0.125,0,0,0,0,0,0,0,0
2.471-2.475.txt,32,2,16,0.5,2,0,0,0,0.125,0,0.03125,0,0,0,0,0,0,0,0.09375,0,0,0,0,0,0,0,0,0.03125
2.512-2.530.txt,125,11,11.36363636,0.181818182,5,0,0,0,0.08,0.008,0.008,0,0.008,0.008,0.024,0,0,0.008,0.032,0.048,0,0,0,0,0,0.016,0.008,0
2.837-2.842.txt,37,1,37,0,,0,0,0,0.027027027,0,0.027027027,0,0,0,0,0,0,0,0,0.054054054,0,0,0,0,0,0,0,0
3.10-3.13.txt,28,2,14,0.5,6,0,0,0,0.107142857,0,0.035714286,0,0,0,0,0,0,0,0.035714286,0.035714286,0,0,0,0,0,0,0,0
3.262-3.272.txt,84,6,14,0.166666667,9,0,0,0,0.154761905,0,0.035714286,0,0,0,0,0,0,0,0.035714286,0.05952381,0,0,0,0,0,0.035714286,0,0
3.280-3.286.txt,48,4,12,0,,0,0,0,0.125,0,0.041666667,0,0,0,0,0,0,0,0.020833333,0.0625,0,0,0,0,0,0.020833333,0,0
3.289-3.291.txt,19,2,9.5,0,,0,0,0,0.157894737,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.320-3.321.txt,14,2,7,0.5,6,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.366-3.367.txt,13,2,6.5,0,,0,0,0,0.153846154,0,0.076923077,0,0.076923077,0,0,0,0,0,0,0.076923077,0,0,0,0,0,0,0,0
3.719-3.720.txt,12,1,12,0,,0,0,0,0.083333333,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.276-4.388.txt,752,37,20.32432432,0.216216216,5.181818182,0,0,0,0.128989362,0.002659574,0.033244681,0,0.001329787,0.001329787,0.001329787,0,0.003989362,0.001329787,0.019946809,0.034574468,0,0,0,0,0.005319149,0.006648936,0.005319149,0.007978723
4.31-4.31.txt,5,1,5,0,,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.422-4.431.txt,71,4,17.75,0,,0,0,0,0.154929577,0,0.028169014,0,0.014084507,0,0.056338028,0.014084507,0,0,0.028169014,0.056338028,0,0,0,0,0.014084507,0.014084507,0,0
4.466-4.469.txt,26,2,13,0,,0,0,0,0.115384615,0,0.038461538,0,0,0,0.038461538,0,0,0,0.038461538,0.038461538,0,0,0,0,0,0,0,0
4.532-4.538.txt,52,2,26,0.5,4,0,0,0,0.096153846,0,0.019230769,0,0,0,0,0,0,0.019230769,0.057692308,0.057692308,0,0,0,0,0,0.019230769,0,0
4.549-4.550.txt,15,2,7.5,0,,0,0,0,0.066666667,0,0,0,0,0,0,0.066666667,0,0,0.066666667,0,0,0,0,0,0,0,0,0
5.269-5.293.txt,159,9,17.66666667,0.222222222,5,0,0,0,0.150943396,0,0.006289308,0,0,0.006289308,0,0.006289308,0,0.006289308,0.044025157,0.031446541,0,0,0,0,0.006289308,0.006289308,0,0
5.300-5.334.txt,223,14,15.92857143,0.071428571,5,0,0,0,0.098654709,0,0.013452915,0,0,0,0,0,0.004484305,0,0.02690583,0.053811659,0,0,0,0,0.00896861,0,0,0
5.337-5.678.txt,2257,133,16.96240602,0.30075188,5.888888889,0.000886132,0,0.000443066,0.122286221,0.001772264,0.019051839,0.003987594,0.003544528,0.001772264,0.00443066,0.001772264,0,0.000443066,0.023925565,0.046521932,0,0,0,0,0.001772264,0.005759858,0.001772264,0.004873726
5.341-5.661.txt,2133,126,16.92063492,0.30952381,5.954545455,0.000937647,0,0.000468823,0.122362869,0.00140647,0.019690577,0.003750586,0.003281763,0.001875293,0.004688233,0.001875293,0,0.000468823,0.023909986,0.046882325,0,0,0,0,0.001875293,0.006094702,0.001875293,0.005157056
5.365-5.379.txt,103,11,9.363636364,0.272727273,4.25,0,0,0,0.116504854,0,0.029126214,0,0,0.009708738,0.029126214,0.019417476,0,0,0.048543689,0.029126214,0,0,0,0,0,0.009708738,0.009708738,0
5.489-5.508.txt,136,6,22.66666667,0.166666667,2,0,0,0,0.132352941,0,0.044117647,0.007352941,0,0,0,0,0,0.007352941,0.044117647,0.029411765,0,0,0,0,0,0,0.007352941,0
5.523-5.532.txt,79,5,15.6,0,,0,0,0,0.126582278,0.012658228,0.037974684,0,0,0,0.012658228,0,0,0,0.075949367,0,0,0,0,0,0,0.050632911,0,0.012658228
5.577-5.641.txt,442,29,15.24137931,0.379310345,6.461538462,0.002262443,0,0,0.117647059,0,0.013574661,0.002262443,0,0,0.009049774,0,0,0,0.045248869,0.052036199,0,0,0,0,0.002262443,0.004524887,0,0.00678733
5.618-5.620.txt,19,1,19,1,9,0,0,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.665-5.668.txt,27,1,27,1,3,0,0,0,0.148148148,0.037037037,0,0,0,0,0,0,0,0,0.074074074,0.037037037,0,0,0,0,0,0,0,0
6.215-6.215.txt,8,2,4,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.317-6.381.txt,431,29,14.86206897,0.172413793,4.833333333,0,0,0,0.09512761,0.002320186,0.027842227,0.002320186,0,0,0.004640371,0.006960557,0.002320186,0.002320186,0.013921114,0.044083527,0,0,0,0,0,0.002320186,0,0.004640371
6.327-6.327.txt,7,1,7,0,,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0
6.328-6.328.txt,8,1,8,0,,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0
6.331-6.381.txt,340,23,14.7826087,0.130434783,5.5,0,0,0,0.097058824,0.002941176,0.032352941,0,0,0,0.005882353,0.005882353,0.002941176,0.002941176,0.008823529,0.052941176,0,0,0,0,0,0.002941176,0,0.005882353
7.11-7.71.txt,435,36,12,0.222222222,4.5,0.006896552,0,0,0.137931034,0,0.034482759,0.002298851,0.006896552,0.002298851,0.032183908,0,0.002298851,0,0.03908046,0.03908046,0,0,0.002298851,0,0.004597701,0.016091954,0,0.006896552
7.171-7.178.txt,57,5,11.4,0.4,3.5,0,0,0,0.105263158,0,0.035087719,0,0,0,0.035087719,0,0.01754386,0,0.035087719,0,0,0,0,0,0,0,0,0
7.192-7.219.txt,176,8,22,0.375,6.666666667,0,0,0,0.170454545,0,0,0,0,0,0,0,0,0,0.034090909,0.034090909,0,0,0,0,0.005681818,0,0.005681818,0
7.309-7.311.txt,23,1,23,1,8,0,0,0,0,0,0.043478261,0,0,0,0,0,0,0,0.043478261,0.043478261,0,0,0,0,0,0,0,0
7.332-7.338.txt,44,4,11,0,,0,0,0,0.159090909,0,0,0,0,0,0.022727273,0,0,0,0,0.022727273,0,0,0,0,0,0.022727273,0,0.022727273
7.433-7.450.txt,112,6,18.66666667,0.333333333,11,0,0,0,0.053571429,0,0.008928571,0,0,0,0,0,0,0,0.035714286,0.053571429,0,0,0,0,0,0.008928571,0.008928571,0
7.484-7.486.txt,21,1,21,0,,0,0,0,0.142857143,0,0.142857143,0,0.047619048,0,0,0,0,0,0.047619048,0,0,0,0,0,0,0,0,0
7.507-7.511.txt,37,2,18.5,0.5,4,0,0,0,0.135135135,0,0.054054054,0,0,0.027027027,0,0,0.027027027,0,0.027027027,0,0,0,0,0,0,0,0,0
7.512-7.516.txt,36,4,9,0.25,7,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0
7.518-7.659.txt,924,58,15.93103448,0.206896552,5.307692308,0.001082251,0,0.001082251,0.140692641,0.002164502,0.016233766,0.007575758,0.003246753,0.001082251,0.003246753,0.004329004,0.001082251,0.001082251,0.023809524,0.048701299,0.001082251,0,0,0,0.002164502,0.002164502,0.001082251,0.002164502
7.615-7.618.txt,31,2,15.5,0,,0,0,0,0.129032258,0,0,0,0,0,0,0,0,0.032258065,0.161290323,0.032258065,0,0,0,0,0,0.032258065,0,0
7.620-7.621.txt,14,2,7,0.5,3,0,0,0,0.071428571,0,0.071428571,0,0,0,0,0,0.071428571,0,0.071428571,0,0,0,0,0,0,0,0,0
7.627-7.628.txt,15,1,15,0,,0,0,0,0.133333333,0,0,0.066666667,0,0,0,0,0,0,0.133333333,0,0,0,0,0,0,0,0,0
